8950   395527
8951   397385
8952   399842
8953   400917
8954   401645
8955   401494
8956   403659
8957   405675
8958   406268
8959   406722
8960   404554
8961   405881
8962   405794
8963   405550
8964   406522
8965   403507
8966   403562
8967   404049
8968   402105
8969   400442
8970   398177
8971   394713
8972   389458
8973   377355
8974   345928
8975   280021
8976   213430
8977   187933
8978   188234
8979   193119
8980   188754
8981   178281
8982   166890
8983   156640
8984   143264
8985   127337
8986   112287
8987   99609
8988   89420
8989   83563
8990   82755
8991   85219
8992   88971
8993   92543
8994   95141
8995   95149
8996   92518
8997   87593
8998   83236
8999   81763
9000   83340
9001   86828
9002   89978
9003   93541
9004   95689
9005   98596
9006   101057
9007   101874
9008   102134
9009   101552
9010   100100
9011   99666
9012   98004
9013   95900
9014   93743
9015   91861
9016   89868
9017   87733
9018   85903
9019   84462
9020   82911
9021   82220
9022   82327
9023   83211
9024   84657
9025   86522
9026   88822
9027   91046
9028   92728
9029   94292
9030   95520
9031   96048
9032   96604
9033   96630
9034   96310
9035   95917
9036   95300
9037   94749
9038   94274
9039   94140
9040   93972
9041   93150
9042   89742
9043   89947
9044   93355
9045   93570
9046   92953
9047   92474
9048   92023
9049   91978
9050   92163
