8950   157555
8951   157823
8952   158170
8953   158333
8954   158463
8955   158458
8956   158788
8957   159070
8958   159189
8959   159292
8960   159053
8961   159275
8962   159347
8963   159396
8964   159627
8965   159326
8966   159460
8967   159690
8968   159627
8969   159682
8970   159745
8971   159840
8972   160053
8973   160313
8974   160410
8975   160762
8976   160887
8977   160988
8978   161028
8979   161064
8980   160984
8981   161161
8982   161015
8983   161069
8984   161088
8985   161018
8986   161200
8987   161327
8988   161337
8989   161322
8990   161497
8991   161496
8992   161410
8993   161410
8994   161614
8995   161683
8996   161831
8997   161831
8998   161877
8999   161999
9000   162046
9001   162095
9002   161911
9003   162190
9004   162038
9005   162164
9006   162293
9007   162129
9008   162230
9009   162170
9010   161890
9011   162286
9012   162331
9013   162317
9014   162374
9015   162483
9016   162509
9017   162320
9018   162310
9019   162430
9020   162345
9021   162376
9022   162439
9023   162552
9024   162582
9025   162625
9026   162761
9027   162845
9028   162663
9029   162692
9030   162701
9031   162561
9032   162617
9033   162586
9034   162531
9035   162564
9036   162557
9037   162583
9038   162535
9039   162504
9040   162304
9041   161609
9042   159694
9043   160016
9044   162222
9045   162759
9046   162825
9047   162820
9048   162698
9049   162699
9050   162860
